cuda
tensor(0.3301, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.2455, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.2044, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.1698, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.1490, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.1303, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.1078, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.0785, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.0407, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.0031, device='cuda:0', grad_fn=<HuberLossBackward0>)
Iter 0 ends after 116 steps.
tensor(0.5568, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.3165, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.0880, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.0549, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.0162, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.0142, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.0032, device='cuda:0', grad_fn=<HuberLossBackward0>)
Iter 1 ends after 79 steps.
tensor(0.6687, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.2843, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.2428, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.1222, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.0986, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.0532, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.0231, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.0181, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.0159, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.0042, device='cuda:0', grad_fn=<HuberLossBackward0>)
Iter 2 ends after 77 steps.
tensor(0.5531, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.3907, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.5012, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.2725, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.2586, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.1348, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.0358, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.0165, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.0127, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.0035, device='cuda:0', grad_fn=<HuberLossBackward0>)
Iter 3 ends after 103 steps.
tensor(0.8340, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.7349, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.3228, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.6369, device='cuda:0', grad_fn=<HuberLossBackward0>)
tensor(0.3167, device='cuda:0', grad_fn=<HuberLossBackward0>)
